City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,saiha,22.4833,92.9667,290.43,48,100,1.53,IN,1678238031
333,san angelo,31.4638,-100.437,299.56,50,93,4.02,US,1678238032
334,zhaotong,27.3167,103.7167,281.02,85,100,1.18,CN,1678237973
335,sitka,57.0531,-135.33,275.09,21,0,8.23,US,1678238032
336,alta floresta,-9.8756,-56.0861,295.61,97,100,0.82,BR,1678238033
337,chato,-2.6378,31.7669,292.15,77,26,2.36,TZ,1678237764
338,college,64.8569,-147.8028,276.12,73,75,0.0,US,1678238034
339,port macquarie,-31.4333,152.9167,299.84,55,94,1.53,AU,1678238034
340,dudinka,69.4058,86.1778,241.27,93,100,5.39,RU,1678238034
341,byron bay,-28.65,153.6167,303.25,52,100,4.57,AU,1678238035
342,laguna,38.421,-121.4238,285.79,57,75,5.66,US,1678237868
343,codrington,-38.2667,141.9667,286.62,63,90,6.96,AU,1678238035
344,hualmay,-11.0964,-77.6139,297.14,75,73,2.82,PE,1678238036
345,kulhudhuffushi,6.6221,73.07,300.57,75,2,6.94,MV,1678238036
346,lebyazhye,55.2689,66.4947,262.58,93,70,5.92,RU,1678238037
347,zemio,5.0314,25.1361,300.86,47,100,2.01,CF,1678238037
348,nantucket,41.2835,-70.0995,274.21,74,100,11.32,US,1678237945
349,arinos,-15.9169,-46.1056,294.51,94,100,1.05,BR,1678238038
350,newport,51.5877,-2.9984,276.91,83,100,5.61,GB,1678237817
351,george,-33.963,22.4617,289.9,100,75,3.6,ZA,1678238038
352,magnor,59.9511,12.1996,264.0,92,43,2.48,SE,1678238039
353,buin,-33.7333,-70.75,297.83,55,100,2.08,CL,1678238039
354,guaira,-20.3183,-48.3106,294.29,92,54,2.37,BR,1678238040
355,lavumisa,-27.31,31.892,293.98,89,69,0.29,SZ,1678238040
356,upington,-28.4478,21.2561,289.17,34,0,4.56,ZA,1678238040
357,palora,-1.7,-77.9333,292.73,96,64,0.62,EC,1678238041
358,sri aman,1.2376,111.4621,299.15,89,83,0.46,MY,1678238041
359,mattawa,46.7379,-119.9028,282.15,54,75,2.14,US,1678238042
360,gimbi,9.1667,35.8333,292.34,45,93,1.57,ET,1678238042
361,asyut,27.181,31.1837,286.88,50,0,3.27,EG,1678238043
362,wajima,37.4,136.9,286.6,59,0,9.18,JP,1678238043
363,kloulklubed,7.0419,134.2556,301.43,78,15,4.49,PW,1678238044
364,rocha,-34.4833,-54.3333,294.04,96,100,1.52,UY,1678237826
365,verkhoyansk,67.5447,133.385,244.38,98,100,1.33,RU,1678238044
